text,created
"RT @BlueOceanTS: DTN report on the effects of Harvey on crops in southern America. Contact us for a free trial of DTN ProphetX. 
https://t.…",9/5/2017 9:50
"DTN report on the effects of Harvey on crops in southern America. Contact us for a free trial of DTN ProphetX. 
https://t.co/2IkVMTt7iX",9/5/2017 9:48
"SOS Alert
Tropical Depression Harvey
Gulf Coast,United States
#keepsafe #besafe #takecaretexas https://t.co/DESgpPYCG6",9/5/2017 7:26
RT @TexasTribune: #Harvey is approaching Texas. It is expected to make landfall at Corpus Christi. @callerdotcom has live coverage: https:/…,9/5/2017 5:11
"@DRUDGE_REPORT Harvey went from a tropical depression, then a C4 hurricane after being seeded, did the Deep State s… https://t.co/TSW0pxWh1u",9/4/2017 18:25
RT @GoodMenProject: It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http…,9/4/2017 17:39
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/xj2sWTlCdD,9/4/2017 17:38
RT @GoodMenProject: It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http…,9/4/2017 17:31
RT @GoodMenProject: It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... http…,9/4/2017 17:31
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/4fmhHNojB6,9/4/2017 17:31
@SInow Obviously they were impressed with what Harvey did to Texas and want to use him up. Mets are their own tropical depression.,9/4/2017 17:18
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/8fbbnskTIo,9/4/2017 17:14
RT @Shell_StormCtr: An update on Shell's preparations for Tropical Depression Harvey in the Gulf of Mexico has been posted. https://t.co/zR…,9/4/2017 15:38
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/5ioV1AVrFS,9/4/2017 14:06
"@SlateGabfest @davidplotz HOWEVER, Harvey has weakened to a tropical depression now &amp; Plotz's whole concern seems t… https://t.co/saesNwoBAN",9/4/2017 12:14
RT @acyukawa: I was told hurricane Harvey has weakened to a tropical depression. Just like me.,9/4/2017 5:31
"The hurricane ""Harvey"" has weakened to a tropical depression — Rambler News Service https://t.co/ZKkm2CS31X",9/4/2017 5:30
RT @ItWeirdfact: It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https:/…,9/4/2017 5:17
RT @MercuryTwin: Tropical Storm Harvey moves farther into Louisiana https://t.co/GmfL9Y20oW via @upi,9/4/2017 4:52
RT @MercuryTwin: Donald Trump donates $1M to Hurricane Harvey relief https://t.co/1s4CDtEkUz via @upi,9/4/2017 4:50
"Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017 https://t.co/LCH7OGXF2L https://t.co/E8oKm1xuaD",9/4/2017 4:32
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/TJdgBZHlHN,9/4/2017 4:27
"RT @metofficestorms: #Harvey weakens to a Tropical Depression, but heavy rain continues to fall over eastern Texas and western Louisiana ht…",9/4/2017 4:04
Harvey weakens to a tropical depression https://t.co/VQx2SlQ4Hb https://t.co/cuQyht1Amb,9/4/2017 2:53
RT @macro_blogs: Oil Futures Slide on Tropical Depression Harvey Concerns #CommodityBlog https://t.co/Ffd1CIPwb2,9/4/2017 1:25
Oil Futures Slide on Tropical Depression Harvey Concerns #CommodityBlog https://t.co/Ffd1CIPwb2,9/4/2017 1:22
"Gift from Tropical Depression Harvey. The good news, it didn't hit the house. The bad news, insurance only covers t… https://t.co/Odvj1fTSo4",9/4/2017 0:02
I was told hurricane Harvey has weakened to a tropical depression. Just like me.,9/3/2017 23:43
Harvey weakens to tropical depression as death toll rises to 38 https://t.co/VIvFNeVOvh https://t.co/LByXdk84he,9/3/2017 23:20
@xtinebellard ​The remnants of Tropical Depression Harvey are causing hazardous conditions in Texas and Louisiana.,9/3/2017 20:57
Information about Tropical Depression Harvey in Google Search https://t.co/g9czwwiNHK,9/3/2017 20:29
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/rCwk2pKlXn,9/3/2017 18:30
RT @RealProgressUS: Hurricane Harvey has been downgraded from a Category 4 hurricane to a tropical depression as it moves over... https://t…,9/3/2017 18:00
Hurricane Harvey has been downgraded from a Category 4 hurricane to a tropical depression as it moves over... https://t.co/3AO5ffxncU,9/3/2017 17:55
The latest on Tropical Depression Harvey: Harvey causing gasoline prices to jump https://t.co/CytZPAezP9 https://t.co/9KyzYZOhUA,9/3/2017 17:24
"RT @NBCNightlyNews: JUST IN: NHC: #Harvey downgraded to a tropical depression, but heavy rainfall still to come as the system moves northea…",9/3/2017 16:46
"change.” Even after it was downgraded to a tropical storm and finally a tropical depression, Harvey just hovered over the Houston area,",9/3/2017 16:32
"RT @Circa: Harvey is now a tropical depression, but 'life-threatening' flooding continues

https://t.co/cLSfxAl4WH https://t.co/IAqveNkWZg",9/3/2017 15:54
They're calling Harvey a Tropical Depression but I call LA that every day.,9/3/2017 15:45
Tropical Depression Harvey batters Texas https://t.co/eGlhOOiSIX via @USATODAY,9/3/2017 15:28
We are shaken by the recent tragedies caused by the destructive force of Hurricane(or Tropical Depression)... https://t.co/9cp59JwXvW,9/3/2017 14:32
HURRICANE HARVEY/AGRICULTURE Tropical Depression Harvey Drenches Delta Farmers with Harvest Underway https://t.co/XSMH1fIM5g,9/3/2017 14:25
Tropical Depression Harvey batters Texas https://t.co/baYFUghFJv via @USATODAY,9/3/2017 13:18
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/Y9UuXjb6NM,9/3/2017 13:06
"Flooding persists as Harvey downgraded to tropical depression.

https://t.co/enu70JMPYS",9/3/2017 12:39
RT @WesWeather: Exactly 1 week ago #Harvey was a tropical depression in the Gulf. For the second time in it's life it is now a tropical dep…,9/3/2017 10:21
Melania heads to floods in heels again https://t.co/41LJSMJTcE,9/3/2017 6:40
Tropical Depression Harvey batters Texas https://t.co/JPrwgcAaGC,9/3/2017 2:29
"@sara8smiles Yes, hurricane Harvey did get stronger. It was unreal! I live in northern MS and it was still a tropic… https://t.co/M8AfzZUudw",9/3/2017 0:11
It took approximately 56 hours for Harvey to evolve from a tropical depression into a Category 4 hurricane just... https://t.co/ppguS9HHk7,9/3/2017 0:11
RT @GovMaryFallin: I'm asking Oklahomans to pray for victims of Tropical Depression Harvey and first responders offering assistance. https:…,9/2/2017 23:44
"RT @MemphisFlyer: Tropical Depression Harvey Leaves Thousands Without Power, Full Restoration Expected by Sunday https://t.co/jYthBkOFTl ht…",9/2/2017 23:36
"RT @MemphisFlyer: Tropical Depression Harvey Leaves Thousands Without Power, Full Restoration Expected by Sunday https://t.co/jYthBkOFTl ht…",9/2/2017 23:36
"Tropical Depression Harvey Leaves Thousands Without Power, Full Restoration Expected by Sunday… https://t.co/rZkNX5wjdI",9/2/2017 23:30
"RT @NC5: ICYMI:
People weren't the only ones who suffered from the remnants of Tropical Depression Harvey in the midstate:
https://t.co/aSz…",9/2/2017 22:59
Tropical Depression Harvey: Donald and Melania Trump visit flood-ravaged Texas https://t.co/KSLdKrHCdN #news,9/2/2017 22:53
Ya I love rain renmants of Hurricane how Tropical Storm now Tropical Depression Harvey is here! Much needed rain in NY and Atlantic Beaches.,9/2/2017 22:49
RT @NLL: The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here ➡️ https://t.co/…,9/2/2017 22:45
RT @AP: BREAKING: National Hurricane Center downgrades Harvey to a tropical depression but says catastrophic flooding continues.,9/2/2017 22:40
Tropical Depression Harvey: Donald and Melania Trump visit flood-ravaged Texas - https://t.co/Q2obZQrI1R,9/2/2017 22:21
RT @NLL: The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here ➡️ https://t.co/…,9/2/2017 22:02
"RT @Emily_Unglesbee: #Harvey drenched the Delta region as #harvest17 began, with the most crop damage expected among Louisiana farmers: htt…",9/2/2017 20:54
RT @NHC_Atlantic: Tropical Depression #Harvey Advisory 42A: Now available on the NHC website. https://t.co/VqHn0uj6EM,9/2/2017 20:50
"RT @ABC: #Harvey is now a Tropical Depression, but @Ginger_Zee says despite the rain stopping in many areas, the rivers are still rising. h…",9/2/2017 20:49
"!!TROPICAL DEPRESSION HARVEY!!
Your donation enables the American Red Cross to respond and help people recover. https://t.co/kX4h29eDd6",9/2/2017 20:30
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 20:23
RT @MikePinola: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 20:15
"ICYMI:
People weren't the only ones who suffered from the remnants of Tropical Depression Harvey in the midstate:
https://t.co/aSz72dRixJ",9/2/2017 20:14
Matt Harvey has been downgraded to a tropical depression.,9/2/2017 20:11
RT @NLL: The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here ➡️ https://t.co/…,9/2/2017 20:01
RT @NLL: The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here ➡️ https://t.co/…,9/2/2017 19:53
RT @NLL: The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here ➡️ https://t.co/…,9/2/2017 19:46
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 19:45
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 19:42
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 19:41
RT @NLL: The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here ➡️ https://t.co/…,9/2/2017 19:38
RT @NLL: The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here ➡️ https://t.co/…,9/2/2017 19:35
The @RocKnighthawks are supporting those in need in Texas after Tropical Depression #Harvey. Make a donation here… https://t.co/7IPU1IgkuM,9/2/2017 19:35
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 19:07
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 19:04
Melania heads to floods in heels again https://t.co/VVvKCL482u,9/2/2017 19:03
Melania heads to floods in heels again https://t.co/d6ubQmiXfe https://t.co/RojsMIehDu,9/2/2017 19:03
Tropical Depression Harvey: Donald and Melania Trump visit flood-ravaged Texas https://t.co/gVr7Pnk7Y3,9/2/2017 19:02
"Melania heads to floods in heels again 
https://t.co/YU0X06QoI4",9/2/2017 19:01
Melania heads to floods in heels again https://t.co/Bl3zrkepb5,9/2/2017 19:01
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 18:49
@ericovalle Matt Harvey has been downgraded to a Tropical Depression,9/2/2017 18:45
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 18:39
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 18:39
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 18:39
RT @MikeMitchNH: Matt Harvey has been downgraded to a tropical depression.,9/2/2017 18:38
Matt Harvey has been downgraded to a tropical depression.,9/2/2017 18:38
It appears the Astros plan on beating up Tropical Depression Harvey,9/2/2017 18:30
"RT @WLWT: Just in: 

President Trump plans to donate $1 million to Harvey disaster relief » https://t.co/ngj3qJK8Ud https://t.co/GlykLgBjsp",9/2/2017 17:46
Please donate to a student drive for coupons used to buy supplies for those affected by Tropical Depression Harvey. https://t.co/TuEncEIko7,9/2/2017 17:16
Matt Harvey is about as effective as a tropical depression at this point. https://t.co/MZnpyxmBGL,9/2/2017 17:16
"As the world focuses on Texas after Tropical Depression Harvey, more than 1,200 people have been killed in monsoon flooding in South Asia.",9/2/2017 16:57
Tropical Depression Harvey batters Texas https://t.co/FyD4C4rREV,9/2/2017 16:50
"Will Harvey Hit Nashville, Tennessee? The Tropical Depression Could Set Off Tornadoes https://t.co/1jvamajFC1 https://t.co/HMLsqxARPF",9/2/2017 16:40
RT @wxornotBG: 4 of top 5 @kymesonet rain totals from Tropical Depression Harvey located in our area. Barren Co &amp; Logan Co both received ov…,9/2/2017 16:25
"As Texas recovers from hurricane, Harvey moves north as tropical depression https://t.co/a2NQRiT7oR https://t.co/T5WH6YMCES",9/2/2017 15:36
RT @wxornotBG: 4 of top 5 @kymesonet rain totals from Tropical Depression Harvey located in our area. Barren Co &amp; Logan Co both received ov…,9/2/2017 15:21
Information about Tropical Depression Harvey in Google Search https://t.co/TtO2amjzDs,9/2/2017 15:00
Tropical depression Harvey is disappearing now https://t.co/mJdS7L1z24,9/2/2017 14:47
Harvey has gone from being a Hurricane to a Tropical Storm to a Tropical Depression. Damage done is still catastrophic.,9/2/2017 14:18
RT @wxornotBG: 4 of top 5 @kymesonet rain totals from Tropical Depression Harvey located in our area. Barren Co &amp; Logan Co both received ov…,9/2/2017 14:14
RT @wxornotBG: 4 of top 5 @kymesonet rain totals from Tropical Depression Harvey located in our area. Barren Co &amp; Logan Co both received ov…,9/2/2017 13:58
4 of top 5 @kymesonet rain totals from Tropical Depression Harvey located in our area. Barren Co &amp; Logan Co both re… https://t.co/GYq21ctQKF,9/2/2017 13:55
Tropical Depression Harvey batters Texas https://t.co/baYFUghFJv via @USATODAY,9/2/2017 13:43
Tropical Depression Harvey batters Texas https://t.co/4akNn2UqUm,9/2/2017 13:38
"Remnants of Tropical Depression Harvey bring rain to region
 https://t.co/r3GAVxy1Cf",9/2/2017 13:27
The Latest: Harvey may be downgraded to tropical depression https://t.co/W5GsO945Xi https://t.co/9DWYUqdVK8,9/2/2017 12:52
E. coli in floodwaters hound Texas https://t.co/P3bSP2VV73,9/2/2017 8:52
The latest on Tropical Depression Harvey: Harvey causing gasoline prices to jump https://t.co/KJ6fi5Su5C https://t.co/TpgNa194k6,9/2/2017 8:34
RT @NHC_Atlantic: Key messages for NHC's last advisory on Tropical Depression #Harvey.  Future advisories will be issued by @NWSWPC https:/…,9/2/2017 7:40
Hurricane Harvey has been downgraded from a Category 4 hurricane to a tropical depression as it moves over... https://t.co/K4jBnEXLbX,9/2/2017 5:43
"RT @NBCNews: JUST IN: Tropical Depression Harvey's center to move through northeastern Louisiana and northwestern Mississippi Thursday, say…",9/2/2017 5:23
RT @Lew_Jetton: Harvey moving out! We're moving in! — What's left of Tropical Depression Harvey continues... https://t.co/IQJdt7vV7w https:…,9/2/2017 4:29
"RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",9/2/2017 3:55
"RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",9/2/2017 3:41
HEAR YEE HEAR YEE WELL IT'S CLOUDY IN DETROIT DUE TO TROPICAL DEPRESSION HARVEY. NOW I CAN'T WATCH ASTEROID FLORENCE'S TRAJECTORY CHANGES.,9/2/2017 3:34
"RT @NWSMemphis: Tropical Depression #Harvey dropped a large swath of 6"" rainfall yesterday. Henderson, TN was the hot spot w 10+ inches #ar…",9/2/2017 3:07
(Sacbee) The #Latest: #Confirmed Harvey-related death toll now 42 : The Latest on Tropical Depression Harvey.. https://t.co/vN113GOwoE,9/2/2017 3:03
The Latest: Confirmed Harvey-related death toll now 42 - HOUSTON (AP) — The Latest on Tropical Depression Harve... https://t.co/V43XfmS1iG,9/2/2017 2:45
"While Harvey has moved on to other parts of America, now as a tropical depression, parts of Texas are still... https://t.co/G5GCWtBJee",9/2/2017 2:17
"RT @NASAHurricane: Satellite Animation Shows Tropical Depression Harvey Moving Inland  
NOAA's GOES East satellite imagery  Aug. 29 to 31.…",9/2/2017 1:48
"Nashville, TN Tropical Depression Harvey Flooding Closes I40 - 8/31/2017 https://t.co/KEAddhdfY0 via @YouTube",9/2/2017 1:32
"RT @fabianobertolin: Harvey now tropical depression, but catastrophic flooding continues -- live updates - CBS News https://t.co/FmTnohJsSo…",9/2/2017 1:26
RT @Purples_Soccer: The Purple's Classic is cancelled due to heavy rains from Tropical Depression Harvey. Statement from Coach Gural regard…,9/2/2017 0:49
Hurricane Harvey has been downgraded from a Category 4 hurricane to a tropical depression as it moves over... https://t.co/4uiAZy6isI,9/2/2017 0:39
The Latest: Beaumont reveals few details about water plans - The Latest on Tropical Depression Harvey (all time... https://t.co/q3McBNrHKG,9/2/2017 0:17
FLASH:  E. coli in floodwaters hound Texas: HOUSTON---A Texas A&amp;M University analysis of… https://t.co/sSpx2QbRLA,9/2/2017 0:09
"RT @ABC: #Harvey is now a Tropical Depression, but @Ginger_Zee says despite the rain stopping in many areas, the rivers are still rising. h…",9/2/2017 0:08
The Latest: Fire at Houston-area chemical plant - HOUSTON (AP) — The Latest on Tropical Depression Harvey (all ... https://t.co/acUkfhaDMj,9/1/2017 23:45
@psiangelic rainy since we are getting the remnants of the then Hurricane Harvey it's now a tropical depression.,9/1/2017 23:34
E. coli in floodwaters hound Texas https://t.co/fEUqXelLar InquirerMobile https://t.co/jUccQk5S2V,9/1/2017 23:30
"Though now downgraded from its hurricane status by the National Hurricane Center, Tropical Depression Harvey has... https://t.co/RbDqKEnfX9",9/1/2017 23:13
RT @breaks_dj: @thehill Trump is jealous that Tropical Depression Harvey has been more damaging to Americans so he’s doing what he can to c…,9/1/2017 22:55
"Tropical depression Harvey has freshened up the air here in Louisville, KY.",9/1/2017 22:53
"Tropical depression Harvey is parked right above Louisville, KY. https://t.co/mJdS7L1z24",9/1/2017 22:47
RT @NWSNewOrleans: Here is the latest on Tropical Depression #Harvey. A lot of uncertainty &amp; main concern right now is threat for heavy rai…,9/1/2017 22:43
